,Percentage of boys who agreed/strongly agreed with the following:,,,,,,,,,,,,Percentage of girls who agreed/strongly agreed with the following:,,,,,,,,,,,,Gender difference in the percentage of students who agreed/strongly agreed with the following: (B-G):,,,,,,,,,,,,Percentage of socio-economically disadvantaged1 students who agreed/strongly agreed with the following:,,,,,,,,,,,,Percentage of socio-economically advantaged2 students who agreed/strongly agreed with the following:,,,,,,,,,,,,Socio-economic disparity in the percentage of students who agreed/strongly agreed with the following (advantaged - disadvantaged):,,,,,,,,,,,
,I forget about time when I'm using digital devices,,The Internet is a great resource for obtaining information I am interested in ,, It is very useful to have social networks on the Internet,, I am really excited discovering new digital devices or applications,,I really feel bad if no Internet connection is possible,, I like using digital devices,,I forget about time when I'm using digital devices,,The Internet is a great resource for obtaining information I am interested in ,, It is very useful to have social networks on the Internet,, I am really excited discovering new digital devices or applications,,I really feel bad if no Internet connection is possible,, I like using digital devices,,I forget about time when I'm using digital devices,,The Internet is a great resource for obtaining information I am interested in ,, It is very useful to have social networks on the Internet,, I am really excited discovering new digital devices or applications,,I really feel bad if no Internet connection is possible,, I like using digital devices,,I forget about time when I'm using digital devices,,The Internet is a great resource for obtaining information I am interested in ,, It is very useful to have social networks on the Internet,, I am really excited discovering new digital devices or applications,,I really feel bad if no Internet connection is possible,, I like using digital devices,,I forget about time when I'm using digital devices,,The Internet is a great resource for obtaining information I am interested in ,, It is very useful to have social networks on the Internet,, I am really excited discovering new digital devices or applications,,I really feel bad if no Internet connection is possible,, I like using digital devices,,I forget about time when I'm using digital devices,,The Internet is a great resource for obtaining information I am interested in ,, It is very useful to have social networks on the Internet,, I am really excited discovering new digital devices or applications,,I really feel bad if no Internet connection is possible,, I like using digital devices,
,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,% dif.,S.E.,% dif.,S.E.,% dif.,S.E.,% dif.,S.E.,% dif.,S.E.,% dif.,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,% dif.,S.E.,% dif.,S.E.,% dif.,S.E.,% dif.,S.E.,% dif.,S.E.,% dif.,S.E.
OECD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,61,-0.8,92.3,-0.4,86.3,-0.6,77.2,-0.7,54.9,-0.8,93.3,-0.4,69.4,-0.8,94.1,-0.4,92.8,-0.5,66.9,-0.9,57,-0.8,94.4,-0.4,-8.4,-1.1,-1.8,-0.6,-6.5,-0.8,10.3,-1.1,-2.1,-1.1,-1.1,-0.6,65.1,-1.2,88.9,-0.6,88.2,-0.8,69.6,-1.2,55.6,-1.2,91.7,-0.6,66.2,-1,97.2,-0.4,90.9,-0.7,74.8,-1,55.9,-1.2,95.6,-0.5,1.2,-1.5,8.3,-0.8,2.7,-1,5.2,-1.4,0.3,-1.6,3.9,-0.8
Austria,52.2,-1.2,82.1,-1.2,75.3,-1,72.2,-1,40.4,-0.8,88.1,-0.8,56.1,-1,81.6,-0.7,86.5,-0.7,60.9,-1,43.2,-0.9,88.8,-0.6,-3.9,-1.6,0.5,-1.4,-11.2,-1.2,11.2,-1.4,-2.8,-1.2,-0.7,-1.1,55,-1.7,76.3,-1.4,82.3,-1.1,63.8,-1.4,45.2,-1.4,86.3,-1,54.2,-1.3,88.2,-1,78.9,-1.4,67.7,-1.4,39,-1.5,91.4,-0.7,-0.8,-2,11.9,-1.5,-3.3,-1.7,3.8,-1.9,-6.2,-2.1,5.2,-1.3
Belgium,71.6,-0.9,91,-0.6,84.3,-0.6,76.8,-0.7,59.2,-0.9,92.4,-0.4,74.4,-0.8,91.3,-0.4,85.9,-0.5,66.1,-0.8,63.6,-0.8,92.4,-0.4,-2.8,-1.2,-0.3,-0.7,-1.6,-0.7,10.7,-0.9,-4.4,-1.1,0,-0.5,73.2,-1.2,87.2,-0.8,84.6,-0.8,71.3,-1.1,66.4,-1.3,90.2,-0.8,70.6,-1.3,94.5,-0.5,85.6,-1,71,-1.3,53.5,-1.5,94.6,-0.6,-2.5,-1.7,7.4,-0.9,1,-1.3,-0.3,-1.9,-12.8,-2,4.5,-1
Canada,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
Chile,62.4,-1.2,88,-0.8,87.7,-0.8,74.7,-1,44.4,-1.1,90,-0.7,64.6,-0.9,87.6,-0.7,88,-0.8,64.3,-1,45.1,-1,89.7,-0.7,-2.3,-1.4,0.4,-1,-0.3,-1.1,10.4,-1.5,-0.6,-1.5,0.3,-0.8,58,-1.5,81.1,-1.2,83.1,-1.2,65.5,-1.5,45.1,-1.6,85,-1.2,69.2,-1.1,94.8,-0.9,91.1,-0.7,71.9,-1.3,45.5,-1.3,94,-0.7,11.2,-1.8,13.7,-1.4,8,-1.5,6.5,-2,0.3,-2.1,9,-1.4
Czech Republic,55.8,-0.9,88.7,-0.7,80.6,-0.9,70.9,-1,46.9,-1.1,89.6,-0.7,54.7,-1,89,-0.7,81.5,-1,47.3,-1.1,48.5,-1,87.5,-0.7,1.1,-1.3,-0.3,-0.9,-0.9,-1.3,23.6,-1.6,-1.5,-1.5,2,-0.9,57.8,-1.5,82.2,-1.4,77.7,-1.4,57.7,-1.8,54.1,-1.6,85.7,-1,52.9,-1.4,93.1,-0.8,83.1,-1,58.9,-1.2,41.2,-1.4,90.4,-0.9,-4.9,-2.1,10.9,-1.6,5.5,-1.6,1.1,-2.1,-12.8,-2.2,4.7,-1.3
Denmark,58.4,-1,94.2,-0.5,91.1,-0.6,77.6,-0.9,59.7,-1.2,95.7,-0.4,60.1,-1.1,95.4,-0.5,92.2,-0.6,56.7,-1.1,63.5,-1.2,94.4,-0.4,-1.6,-1.4,-1.2,-0.6,-1.1,-0.9,20.9,-1.3,-3.8,-1.5,1.3,-0.6,57.6,-1.7,92.8,-0.7,90.5,-0.9,68.6,-1.4,63.1,-1.6,94.3,-0.6,58.7,-1.4,97.1,-0.5,92.1,-0.8,65.1,-1.6,59.4,-1.6,96.1,-0.5,1,-2.3,4.3,-0.9,1.5,-1.1,-3.5,-2.1,-3.8,-2.3,1.7,-0.7
Estonia,52.1,-1.1,88.6,-0.7,79,-0.8,79.5,-0.8,38,-1.2,89.6,-0.7,57.2,-1,92.7,-0.6,79.8,-0.8,71.9,-1.1,38.6,-1.1,90.8,-0.6,-5.1,-1.5,-4.2,-0.9,-0.8,-1.1,7.6,-1.3,-0.7,-1.4,-1.1,-1,54.3,-1.5,87.6,-1.2,78,-1.2,73.6,-1.8,42.2,-1.7,87.4,-1.1,54.1,-1.3,93.4,-0.8,81.1,-1.3,77.5,-1.1,32.2,-1.4,91.7,-0.9,-0.2,-1.9,5.9,-1.4,3.1,-1.8,3.9,-2,-10,-2.1,4.3,-1.5
Finland,45.1,-1,87.5,-0.7,83.3,-0.8,68.3,-1,40.3,-1.2,89.5,-0.6,56.4,-0.9,92.4,-0.6,91.8,-0.6,57.3,-0.9,46.2,-1.2,91.7,-0.6,-11.3,-1.3,-4.9,-0.8,-8.5,-1,11,-1.1,-5.9,-1.7,-2.2,-0.8,51.5,-1.3,85.5,-1.1,84.9,-1,60.7,-1.5,43.3,-1.4,87.8,-0.9,50.3,-1.5,93.7,-0.7,88.7,-0.9,63.1,-1.4,42.7,-1.8,92.9,-0.6,-1.3,-1.8,8.2,-1.2,3.8,-1.4,2.4,-2,-0.6,-2.1,5.1,-1
France,81,-0.8,91.9,-0.5,79.7,-0.8,74.9,-0.8,77,-0.8,93.6,-0.5,84.6,-0.7,94.1,-0.5,82.5,-0.6,59.9,-1,81.8,-0.8,93.7,-0.5,-3.6,-1,-2.2,-0.7,-2.8,-1,15,-1.3,-4.7,-1,-0.1,-0.6,82.7,-1.1,89.1,-1.1,82,-1.4,68.5,-1.4,78.1,-1.3,91.2,-0.9,83,-1,97.2,-0.5,79.2,-1,64.9,-1.4,79.8,-1.2,95.9,-0.5,0.3,-1.5,8.2,-1.2,-2.8,-1.8,-3.6,-2.1,1.7,-1.6,4.8,-0.9
Germany,61.7,-1,87.5,-0.7,76.3,-0.8,77.2,-0.9,40.5,-1,92.8,-0.5,61.9,-1,86.1,-0.7,83.6,-0.7,60.9,-0.9,41.2,-1.1,90.3,-0.6,-0.2,-1.5,1.4,-0.9,-7.3,-1,16.3,-1.2,-0.7,-1.4,2.4,-0.8,61.4,-1.5,83.8,-1.2,81.6,-1.2,68,-1.3,49.9,-1.5,89.3,-1,62.5,-1.3,92.3,-0.8,79.5,-1.1,71.2,-1.1,32.8,-1.2,93.6,-0.7,1.1,-2.1,8.5,-1.5,-2.1,-1.7,3.2,-1.9,-17.1,-1.9,4.3,-1.1
Greece,50.2,-1,85.5,-0.9,87.5,-0.8,75.2,-0.9,76.3,-0.9,89.1,-0.8,55.1,-1,91.6,-0.7,90.9,-0.6,66,-1.2,78.7,-0.9,90.1,-0.6,-5,-1.5,-6.2,-0.9,-3.4,-0.9,9.2,-1.4,-2.4,-1.4,-1,-0.9,49,-1.5,85.7,-1.3,87.9,-1.1,67.6,-1.7,74.1,-1.3,87.6,-1.2,56.2,-1.3,93.6,-0.8,90.6,-0.8,71.7,-1.3,80.1,-1.3,92,-0.8,7.2,-2.3,7.9,-1.4,2.7,-1.4,4,-1.9,6,-2,4.4,-1.4
Hungary,56.4,-1,83.1,-0.9,74.5,-1,48.1,-1.1,61.1,-1,85.7,-0.9,58.5,-1.1,87.6,-0.8,76,-0.9,33.5,-1.2,57.5,-1,86,-0.7,-2.1,-1.4,-4.5,-1.2,-1.5,-1.4,14.5,-1.6,3.6,-1.4,-0.2,-1.1,56.4,-1.9,77.7,-1.8,74.4,-1.7,45.4,-1.8,61.3,-1.6,82.1,-1.1,56.3,-1.5,90,-0.9,76,-1.1,33.6,-1.5,58.6,-1.3,89.5,-1.1,-0.2,-2.5,12.3,-2,1.6,-2.2,-11.8,-2.5,-2.6,-2.1,7.5,-1.6
Iceland,61.9,-1.3,91,-0.8,88.6,-0.8,78.4,-1.1,40.5,-1.3,90.6,-0.7,74,-1.1,94.3,-0.6,91.4,-0.6,64.5,-1.2,41.8,-1.2,92.9,-0.6,-12.1,-1.7,-3.2,-0.9,-2.8,-0.9,13.9,-1.6,-1.3,-1.9,-2.3,-0.9,69.5,-1.8,90.6,-1.2,87.4,-1.2,67.3,-1.9,41.2,-1.7,89.8,-1.1,66.9,-1.8,94.8,-0.9,92.3,-0.9,75.7,-1.5,39.8,-1.7,93.5,-0.8,-2.6,-2.3,4.2,-1.4,5,-1.5,8.4,-2.7,-1.4,-2.5,3.7,-1.5
Ireland,65.4,-0.9,96.3,-0.4,92.6,-0.5,84.2,-0.9,45.4,-1.1,96.5,-0.5,77.9,-0.9,98.2,-0.2,95.4,-0.3,76.6,-0.9,52.5,-1.2,97,-0.3,-12.5,-1.3,-1.9,-0.4,-2.8,-0.6,7.7,-1.4,-7.2,-1.4,-0.5,-0.6,71.5,-1.5,96.6,-0.5,92.8,-0.8,79.2,-1.1,49.1,-1.7,96,-0.6,70.6,-1.3,97.8,-0.4,95,-0.5,81.4,-1,46.8,-1.6,97.5,-0.4,-0.9,-2,1.2,-0.7,2.2,-1,2.2,-1.5,-2.3,-2.4,1.5,-0.7
Israel,60,-1.1,81.6,-1,73.6,-1.6,53.8,-1.9,51.4,-2.1,82.2,-1.2,71.3,-1,87.8,-0.7,83.7,-0.8,50.8,-1.5,61.6,-1.4,88.1,-0.8,-11.3,-1.4,-6.2,-1,-10.1,-1.6,3.1,-2.4,-10.3,-2.3,-5.8,-1.1,65,-1.6,77.7,-1.4,76.1,-1.5,54.9,-1.9,60.9,-2.1,79.2,-1.5,65.2,-1.3,89.1,-1,80.9,-1.4,52.5,-1.9,54.4,-2.1,87.8,-1,0.2,-2.1,11.5,-1.6,4.8,-2,-2.4,-2.5,-6.5,-3,8.6,-1.6
Italy,56.6,-0.9,88.2,-0.7,75.2,-1,78.3,-0.8,46.2,-1.2,88.7,-0.7,63.5,-1,91.8,-0.6,78.2,-0.8,65.5,-1.1,47.5,-1.1,89.8,-0.6,-6.9,-1.3,-3.6,-0.7,-3,-1.2,12.8,-1.5,-1.3,-1.7,-1.1,-0.9,57.9,-1.4,87.7,-1,74.5,-1.4,71.2,-1.4,51.4,-1.4,87.7,-1,61.7,-1.6,92.7,-0.8,78,-1.2,73,-1.2,41.9,-1.3,91.4,-0.8,3.8,-2.2,4.9,-1.4,3.5,-1.7,1.8,-1.9,-9.5,-2.1,3.6,-1.3
Japan,49.5,-1,76.9,-1.1,79,-0.9,38.6,-0.9,46.1,-1.1,74.8,-0.9,54.5,-1,80.2,-0.9,84.8,-0.7,26,-0.8,51.1,-1,73,-1,-5.1,-1.3,-3.4,-1.3,-5.8,-1.1,12.6,-1.1,-5,-1.2,1.8,-1.1,50.3,-1.6,69.2,-1.4,76,-1.3,29.1,-1.2,48.1,-1.4,68.8,-1.3,51.5,-1.3,86.7,-1,85.9,-1,33.9,-1.2,49.7,-1.4,77.7,-1.2,1.2,-2.1,17.6,-1.3,9.9,-1.6,4.9,-1.7,1.6,-1.8,8.9,-1.7
Korea,52.9,-1.1,71.4,-1.2,77.4,-0.9,62.5,-1.1,56.7,-1.1,84.9,-1,66.4,-1,75.5,-1.1,84.9,-0.7,61.1,-1,63.7,-1.1,85.4,-0.7,-13.5,-1.4,-4.1,-1.6,-7.5,-1.1,1.4,-1.4,-7,-1.4,-0.4,-1.1,57.9,-1.7,64.8,-1.7,76.1,-1.5,58.5,-1.3,57.1,-1.5,80.9,-1.3,58.1,-1.6,79.7,-1.1,83.2,-1,64,-1.5,62.5,-1.5,87.2,-1.1,0.2,-2.3,14.8,-1.9,7.2,-1.8,5.5,-1.7,5.4,-2,6.3,-1.6
Latvia,53.2,-1,82,-0.9,71.8,-0.9,76.8,-1.1,42.8,-1.1,85.5,-0.8,54.9,-1.3,87.6,-0.8,78.6,-1,71.4,-1.2,45,-1.2,89.5,-0.8,-1.6,-1.7,-5.6,-1.1,-6.8,-1.2,5.4,-1.7,-2.2,-1.5,-3.9,-1.2,56.1,-1.7,80.7,-1.4,77.4,-1.3,70.4,-1.5,41,-1.7,83.7,-1.3,50.8,-1.6,89.3,-0.9,73.2,-1.5,77.2,-1.3,42.6,-1.7,89.1,-1.2,-5.3,-2.5,8.6,-1.7,-4.2,-2.1,6.8,-2.1,1.6,-2.6,5.4,-1.8
Luxembourg,56.8,-1,83.8,-0.7,80.9,-0.8,70.1,-1.1,44.2,-1,87.3,-0.6,61.7,-1.1,85.7,-0.7,87.2,-0.7,54.5,-0.9,42.8,-1,87.5,-0.6,-4.9,-1.5,-2,-1,-6.3,-1.1,15.6,-1.5,1.3,-1.3,-0.2,-0.9,62.4,-1.5,80.7,-1.3,84.8,-1.1,60.5,-1.6,49.3,-1.5,84.6,-1.2,59.4,-1.5,92.3,-0.9,86.2,-1.1,62.5,-1.4,40.5,-1.3,93.4,-0.8,-3,-2,11.7,-1.6,1.4,-1.6,2,-2.1,-8.8,-2,8.8,-1.5
Mexico,47.9,-1.1,79.9,-1.1,81.2,-0.9,69.5,-0.9,47.4,-1,83.4,-0.9,53.5,-0.9,83.9,-0.8,83.4,-0.9,62.8,-1.1,49.5,-1,82.5,-0.8,-5.6,-1.2,-3.9,-1.1,-2.3,-1.2,6.7,-1.3,-2.1,-1.2,0.9,-1,39.1,-1.7,70.2,-1.6,73.4,-1.5,55.5,-1.7,40.5,-1.7,71.4,-1.8,56.5,-1.3,90.4,-1,87.3,-1.1,74.2,-1.1,51.6,-1.6,90.5,-0.7,17.4,-2,20.2,-1.8,13.9,-1.8,18.7,-2,11.1,-2.2,19,-1.9
Netherlands,51.9,-1.1,89.2,-0.6,87.6,-0.7,82.6,-0.8,58.3,-1,91.3,-0.5,53,-0.9,89.8,-0.6,92.2,-0.5,76,-1,61.1,-1,91.7,-0.6,-1.1,-1.4,-0.6,-0.8,-4.6,-0.8,6.6,-1.3,-2.8,-1.3,-0.3,-0.7,52.3,-1.5,84.7,-1,89.1,-0.9,75.5,-1.3,64.1,-1.5,90.6,-0.9,52.9,-1.6,93.1,-0.9,90.2,-0.8,79.5,-1.3,56.1,-1.8,92.3,-0.9,0.6,-2.2,8.4,-1.4,1.2,-1.1,4,-2,-7.9,-2.3,1.7,-1.3
New Zealand,64.8,-1.2,91.6,-0.7,86.8,-0.9,76.4,-1.2,57.2,-1.4,93.8,-0.6,70.6,-1,94.1,-0.5,91.2,-0.6,66.2,-1.2,61.2,-1.2,95.2,-0.6,-5.8,-1.6,-2.5,-0.9,-4.3,-1.1,10.2,-1.7,-4,-1.9,-1.4,-0.8,66.7,-1.7,88.9,-1.2,88.4,-1.1,71.3,-1.8,62,-2.1,92.2,-0.9,68.5,-1.7,95.2,-0.8,89.3,-1.1,74.2,-1.9,57.1,-1.7,95.2,-0.9,1.7,-2.6,6.3,-1.5,0.9,-1.6,2.8,-2.9,-4.8,-2.4,3,-1.4
Norway,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
Poland,48.9,-1.1,85.7,-0.7,80.8,-1,69.4,-1.2,48.7,-1.1,90,-0.7,53.7,-1,88.6,-0.7,87.4,-0.8,50.8,-1.3,52,-1.1,92.7,-0.7,-4.8,-1.6,-2.9,-1,-6.6,-1.2,18.6,-1.6,-3.3,-1.5,-2.7,-0.9,48.2,-1.5,81.8,-1.3,82.9,-1.3,55.6,-1.6,52.6,-1.3,86.5,-1.2,51.6,-1.6,91,-0.8,83.9,-1.4,59.9,-1.5,46.1,-1.7,93.5,-0.9,3.4,-2.4,9.2,-1.4,1,-1.8,4.3,-2,-6.5,-2.1,7,-1.5
